1,Nokia,by Drake
9,Where Ya At,by Future (feat. Drake)
7,Thought It Was a Drought,by Future
12,Stick Talk,by Future
15,Slave Master,by Future
14,Rotation,by Future
18,Rich $ex,by Future
11,Lil One,by Future
8,I Serve the Base,by Future
10,Groupies,by Future
13,Freak Hoe,by Future
17,Colossal,by Future
16,Blow a Bag,by Future
19,Blood on the Money,by Future
20,Trap Niggas,by Future
21,The Percocet & Stripper Joint,by Future
23,Kno the Meaning,by Future
24,Fuck Up Some Commas,by Future
4,Flowers,by Miley Cyrus
28,Xanny Family,by Future
31,Seven Rings,by Future
33,Program,by Future
30,Photo Copied,by Future
27,Maybach,by Future
34,Low Life,by Future (feat. The Weeknd)
29,Lil Haiti Baby,by Future
32,Lie to Me,by Future
26,In Her Mouth,by Future
35,Fly Shit Only,by Future
25,Ain't No Time,by Future
38,Zoom,by Future
51,When I Was Broke,by Future
40,Super Trapper,by Future
45,Scrape,by Future
36,Rent Money,by Future
48,Poppin' Tags,by Future
41,POA,by Future
44,Outta Time,by Future
47,Might as Well,by Future
49,Massage in My Room,by Future
42,Mask Off,by Future
46,I'm So Groovy,by Future
43,High Demand,by Future
37,Good Dope,by Future
50,Flip,by Future
52,Feds Did a Sweep,by Future
39,Draco,by Future
119,Up the River,by Future
127,Tycoon,by Future
117,Trillionaire (featuring YoungBoy Never Broke Again),by Future
109,Trapped in the Sun,by Future
111,Touch the Sky,by Future
121,Too Comfortable,by Future
112,Solitaires (featuring Travis Scott),by Future
113,Ridin Strikers,by Future
120,Pray for a Key,by Future
115,Posted with Demons,by Future
129,Posted with Demons,by Future
123,Outer Space Bih,by Future
114,One of My,by Future
125,Life Is Good (featuring Drake),by Future
126,Last Name (featuring Lil Durk),by Future
110,HiTek Tek,by Future
118,Harlem Shake (featuring Young Thug),by Future
116,Hard to Choose One,by Future
122,All Bad (featuring Lil Uzi Vert),by Future
124,Accepting My Flaws,by Future
128,100 Shooters (featuring Meek Mill and Doe Boy),by Future
57,Use Me,by Future
66,Turn on Me,by Future
59,Testify,by Future
69,Sorry,by Future
68,Solo,by Future
67,Selfish,by Future (feat. Rihanna)
65,New Illuminati,by Future
61,Neva Missa Lost,by Future
53,My Collection,by Future
55,Lookin Exotic,by Future
62,Keep Quiet,by Future
58,Incredible,by Future
64,I Thank U,by Future
63,Hallucinating,by Future
60,Fresh Air,by Future
56,Damage,by Future
54,Comin Out Strong,by Future (feat. The Weeknd)
71,You da Baddest,by Future (feat. Nicki Minaj)
70,Pie,by Future (feat. Chris Brown)
132,Wait for U (featuring Drake and Tems),by Future
130,Puffin on Zootiez,by Future
134,Massaging Me,by Future
133,Love You Better,by Future
131,Gold Stacks,by Future
135,Chickens (featuring EST Gee),by Future
6,Espresso,by Sabrina Carpenter
103,Unicorn Purp (featuring Young Thug and Gunna),by Future
108,Tricks on Me,by Future
92,Temptation,by Future
96,Talk Shit Like a Preacher,by Future
98,Stick to the Models,by Future
101,Servin Killa Kam,by Future
91,Rocket Ship,by Future
97,Promise U That,by Future
99,Overdose,by Future
89,Never Stop,by Future
100,Krazy but True,by Future
90,Jumpin on a Jet,by Future
104,Goin Dummi,by Future
105,First Off (featuring Travis Scott),by Future
106,Faceshot,by Future
94,F&N,by Future
93,Crushed Up,by Future
95,Call the Coroner,by Future
102,Baptiize,by Future
107,Ain't Coming Back,by Future
